#                                                                                        --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                    accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#            ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
contig_2_pilon:1121732-1123666|- -            645 18543                -            519   2.3e-23   79.8   0.6   4   4    0.0045      0.17    7.6   0.0   403   462   445   501   426   560 0.77 contig_2_pilon_1070 # 1121732 # 1123666 # -1 # ID=5_1070;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.403
contig_2_pilon:208925-209794|+   -            290 18543                -            519   4.8e-23   78.7   0.0   1   1   1.7e-24   6.5e-23   78.3   0.0    23   225    24   229    16   239 0.83 contig_2_pilon_192 # 208925 # 209794 # 1 # ID=5_192;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.421
contig_1_pilon:191305-193059|-   -            585 18543                -            519   5.2e-23   78.6   0.5   1   1   2.2e-24   8.4e-23   78.0   0.5    23   225   367   567   363   575 0.87 contig_1_pilon_163 # 191305 # 193059 # -1 # ID=1_163;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.394
contig_1_pilon:242835-244418|-   -            528 18543                -            519   6.8e-23   78.2   3.3   1   3   5.8e-13   2.2e-11   40.3   1.0   274   466    17   218     1   236 0.77 contig_1_pilon_204 # 242835 # 244418 # -1 # ID=1_204;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.451
contig_1_pilon:242835-244418|-   -            528 18543                -            519   6.8e-23   78.2   3.3   2   3   3.8e-07   1.4e-05   21.1   0.0     9    66   330   387   323   398 0.84 contig_1_pilon_204 # 242835 # 244418 # -1 # ID=1_204;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.451
contig_1_pilon:242835-244418|-   -            528 18543                -            519   6.8e-23   78.2   3.3   3   3   8.7e-05    0.0033   13.3   0.0   133   183   433   486   417   496 0.81 contig_1_pilon_204 # 242835 # 244418 # -1 # ID=1_204;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.451
contig_2_pilon:1243695-1244381|+ -            229 18543                -            519   7.8e-23   78.1   1.7   1   1   2.4e-24   9.4e-23   77.8   1.7     7   221     2   216     1   221 0.90 contig_2_pilon_1196 # 1243695 # 1244381 # 1 # ID=5_1196;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.419
contig_2_pilon:725056-725961|-   -            302 18543                -            519   1.6e-22   77.1   3.3   1   1   4.6e-23   1.8e-21   73.6   3.3     8   231     5   217     2   240 0.84 contig_2_pilon_673 # 725056 # 725961 # -1 # ID=5_673;partial=00;start_type=TTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.401
contig_2_pilon:756308-757393|+   -            362 18543                -            519     2e-22   76.7   0.2   1   1   9.9e-24   3.8e-22   75.8   0.2     6   225     5   219     2   242 0.89 contig_2_pilon_706 # 756308 # 757393 # 1 # ID=5_706;partial=00;start_type=GTG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.397
contig_2_pilon:230545-231549|+   -            335 18543                -            519   5.2e-22   75.3   1.0   1   1     3e-23   1.2e-21   74.2   1.0    18   228    22   243     1   247 0.75 contig_2_pilon_211 # 230545 # 231549 # 1 # ID=5_211;partial=00;start_type=TTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.426
