	rna_bhi_rep1	rna_bhi_rep2	rna_bhi_rep3	rna_serum_rep1	rna_serum_rep2	rna_serum_rep3
EFM745_02531	3872.40592748148	4149.30106086581	4065.15525062217	3934.86959055711	3947.44945627441	4116.45003070345
EFM745_02532	4513.39989193156	4107.59042957214	4271.53852915021	1270.16715200014	1318.78003606765	1341.30322705867
EFM745_02533	14320.6987278135	13779.016372578	13413.9208770225	4015.47856665866	3941.52235498871	3761.18018309235
EFM745_02534	5957.68785734966	6055.29556041562	5891.84571105551	863.66760108804	857.453985997544	784.997447715542
EFM745_02535	3287.94343642529	3206.27809248722	3387.4640043017	5671.4172471448	5842.14616726898	5456.68957558365
EFM745_02536	8419.54234385778	8527.10384099259	8433.93205523271	12340.0826843459	11631.936273181	11973.8702831082
EFM745_02537	7241.49938216574	7553.25127557085	7237.30593069028	10704.8720262859	10647.0496095409	10680.432754081
EFM745_02539	1966.7481953326	1936.82409659296	2270.21606380852	1108.94919979704	1232.83706742504	1168.9867141455
EFM745_02540	4740.43758346508	5249.19227302277	5109.97059817041	2486.2111343321	2638.54792234959	2502.84416595484
EFM745_02541	434.927625949768	592.109613799251	569.538470553362	99.0338849247619	111.627074213966	117.005039632398
EFM745_02542	418.515262706381	439.77513429194	461.38569478626	989.187292446168	952.287606568701	983.906015090619
EFM745_02543	326.423668951818	372.675423080386	346.287327914849	578.081514328261	569.989573641225	626.508803122567
EFM745_02544	487.811907511795	466.977719918246	474.284649694263	361.588835655526	323.027020070503	372.288762466721
EFM745_02545	909.062564092073	766.206161807607	779.890658283872	5256.85679862254	4924.43331820018	4975.90523091234
EFM745_02547	865.296262109707	672.810617823958	608.235335277371	664.448274437065	617.406383926803	709.476013043722
EFM745_02548	159.564642644045	120.598129609955	118.075048773258	27802.0358574247	30452.4585556985	26684.5948114361
EFM745_02549	640.082166492112	509.595104066124	422.688830062251	1379.56504813796	1315.8164854248	1293.43752902723
EFM745_02550	1195.36712289339	1135.25457347115	1112.2868039901	2603.66992808008	2547.66570263556	2553.9009105217
EFM745_02551	31.001130570843	46.2443955647195	50.6035923313963	58.7293968739867	61.2467132855389	60.6298841731516
EFM745_02552	191.477571172854	167.749278028884	172.647550307117	2000.2541641199	1979.6518294229	1909.30951036504
EFM745_02553	65.6494529735499	62.5659469405028	54.5725015338587	778.452397780687	724.094207069355	760.532757610586
EFM745_02554	224.302297659629	252.984046324642	214.321096932972	1835.58154151245	1478.81177078148	1619.98795781947
EFM745_02555	1427.87560217471	1654.82395893359	1582.6025444819	4134.08891720808	4909.61556498594	4701.47522886544
EFM745_02557	172.329814055569	159.588502340993	163.717504601576	269.464291539468	281.537311070622	263.793180262133
EFM745_02558	2574.9174332959	2500.82437191169	2458.73925092549	7345.78083645414	8167.54557169089	7862.73866329714
EFM745_02559	1274.69354523643	1153.38963055536	1125.1857588981	672.50917204722	688.531599355171	604.171477374564
EFM745_02560	1572.8514774913	1640.31591326623	1619.31495460468	1559.20790916427	1608.22014885254	1514.68342215031
EFM745_02561	2240.28758272239	2182.55412008392	2202.74460736666	3179.44832880544	3114.69172563394	3243.16696217437
EFM745_02562	1397.78626956183	1701.06835449831	1694.72422945147	1471.68959225402	1688.23601620945	1507.23764690098
EFM745_02563	764.086688775484	690.038922053951	736.232657056785	1279.37960641175	1329.64638842476	1298.75593991962
EFM745_02564	1342.16659412591	1495.2354565926	1692.73977485024	441.046254955626	540.354067212738	481.848026849784
EFM745_02565	4640.13980808883	5075.09572501441	4860.92154571589	1058.28070053321	1032.30347392561	1021.13489133729
EFM745_02566	638.25857057618	690.038922053951	702.496928835854	310.920336391694	325.990570713352	356.333529789575
EFM745_02567	874.414241689366	789.781736017072	805.688568099878	332.799915619258	300.306465141997	328.67779314919
EFM745_02568	9590.29092188609	10346.0500665382	10442.2001116787	1631.75598765567	2029.04434013705	2053.97028663782
EFM745_02569	1262.84017178287	1218.67583605849	1247.22971687383	1903.52339279804	1821.59579513764	1751.88454795054
EFM745_02570	337.365244447409	367.234905955125	359.186282822852	1037.5526781071	1073.7931829255	974.332875484332
EFM745_02571	603.610248173473	540.424701109271	562.592879449052	421.469789330963	482.070904570048	466.956476351115
EFM745_02572	303.628720002668	289.254160493049	288.738144479143	171.581963416157	177.813038570919	176.571241627073
EFM745_02573	169.594420181671	141.453445256789	171.655323006501	105.943225733466	100.760721856854	90.4129851704893
EFM745_02574	73.8556345952437	60.7524412320824	72.4325929449397	39.1529312493245	32.5990570713352	44.6746514960065
EFM745_02575	2955.13718176771	2854.45798505366	2790.1431693311	2361.84299977543	2332.31435592189	2404.98540553502
EFM745_02576	741.291739826335	742.630587598142	767.983930676484	712.813660097996	745.826911783578	693.520780366577
EFM745_02577	1243.69241466558	1307.53761577109	1227.38517086151	869.425385095293	867.332488140373	860.518882387363
EFM745_02578	2278.58309695696	2325.82107104913	2141.22651472849	2969.86499094141	2968.48989392007	3002.77478983872
EFM745_02579	1880.12738932583	1688.37381453937	1700.67759325516	2144.19876430124	2194.01532592229	2125.23699259574
EFM745_02580	4127.70935571195	4172.87663507527	4156.4401622788	4318.3380054402	4080.8092352026	4012.20917721277
EFM745_02581	23868.1351456752	20500.7752808381	20803.0375847069	18905.1080094165	19043.7764309455	17974.1014518933
EFM745_02582	6362.52615068655	6223.0448384445	6007.93630522754	4774.35449881468	4618.19975177249	4481.29301792084
EFM745_02583	1219.98566775847	1240.43790455953	1138.08471380611	1011.06687167373	1099.47728849685	1072.19163590416
EFM745_02584	3238.70634669513	3144.61889840092	3175.12736196996	1995.6479369141	1898.6481118517	2013.55036385572
EFM745_02585	23834.3986212305	24251.1050858514	24407.7993678435	8512.30787632372	8450.0707329758	8154.18758019966
EFM745_02586	1447.93515724996	1273.0810073111	1205.55617024797	802.635090611152	798.182973140571	811.589502177451
EFM745_02587	460.457968772815	429.800852895628	494.129195706575	391.529312493245	399.091486570285	341.441979290907
EFM745_02588	10637.946775589	9876.35208805734	9471.80181167664	5044.9703471556	4916.53051648592	4336.63224164806
EFM745_02589	12643.9022831141	12165.9030449381	12039.6860656698	5771.60268887101	5406.50422277023	5174.81379828742
EFM745_02590	5047.71349529962	5192.06684320752	4752.76876994879	1745.76011099929	1658.60050978096	1641.261601389
EFM745_02591	7990.99730361377	8635.91418349781	8056.88568099878	2268.56689885792	2267.11624177922	2223.09575301556
EFM745_02592	504.224270755182	411.665795811424	442.533376074563	572.323730321008	578.880225569771	574.388376377226
EFM745_02593	2929.60683894467	2429.19089642909	2615.51116442276	2670.46022256422	3010.96745313423	2663.46017490477
EFM745_02594	18.2359591593194	11.7877871047324	12.898954908003	12.6671248159579	26.6719557856379	23.4010079264796
EFM745_02595	10.9415754955917	9.06752854210186	7.9378184049249	10.3640112130565	8.89065192854596	8.50945742781076
EFM745_02596	10.0297775376257	2.72025856263056	10.9145003067717	3.45467040435216	2.96355064284865	1.06368217847634
EFM745_02597	33.7365244447409	34.4566084599871	35.7201828221621	23.0311360290144	19.7570042856577	30.846783175814
EFM745_02598	36.4719183186388	44.4308898562991	42.6657739264714	43.7591584551273	35.5626077141839	46.8020158529592
EFM745_02599	78.4146243850735	70.7267226283945	73.4248202455554	39.1529312493245	34.574757499901	29.7831009973376
EFM745_02600	1205.39690043101	1155.20313626378	1047.79202945009	59116.3199592742	60547.3153338266	73495.120121823
EFM745_02601	340.100638321307	193.13835794677	214.321096932972	73433.625671711	72276.0609280073	86658.1870804678
EFM745_02602	291.775346549111	172.283042299935	160.740822699729	64255.7179641487	60992.8357804682	72800.535659278
EFM745_02603	76.5910284691416	43.5241370020889	55.5647288344743	15674.9911813472	13987.9590342457	16735.9753961468
EFM745_02604	186.918581383024	115.157612484694	118.075048773258	44296.9354814048	44753.5661078718	51081.2092569695
EFM745_02605	164.123632433875	98.8360611089102	79.378184049249	48447.1461938332	47406.9317834356	54442.4449409547
EFM745_02606	366.54277910232	173.189795154145	154.787458896036	109579.842112448	106845.879176837	116679.552885784
EFM745_02607	93.915189670495	30.8295970431463	37.7046374233933	31302.7685338349	29967.4241004856	32524.2099712712
EFM745_02608	16.4123632433875	10.8810342505222	5.95336380369368	7459.78495979776	6973.23466262288	7377.69958991193
EFM745_02609	114.886542703712	57.1254298152417	49.6113650307806	37265.5296517467	37316.041844536	38125.5603231276
EFM745_02610	237.067469071153	273.839361971476	275.83918957114	1976.07147128944	2144.62281520814	2128.42803913117
EFM745_02611	3907.96604784215	4174.6901407837	3828.01292577503	52242.6774114148	55275.1587401988	51410.9507322972
EFM745_02612	1582.88125502893	1566.8689320752	1661.98072853115	18252.1753029939	17860.3318742346	17398.6493933376
EFM745_02613	127.651714115236	114.250859630483	127.005094478798	6013.42961717566	6673.91604769517	5650.27973206634
EFM745_02614	5540.08439260124	6164.10590292084	6039.68757884724	12736.218224045	14021.5459415313	12799.2876536059
EFM745_02615	2942.37201035619	2810.93384805158	2985.61194755238	8366.06016253948	8245.58573861924	8114.83133959603
EFM745_02617	62.914059099652	63.472699794713	44.6502285277026	74.8511920942968	67.1738145712362	63.8209307085807
EFM745_02618	5.47078774779583	18.1350570842037	17.860091411081	14.9702384188594	17.7813038570919	21.2736435695269
EFM745_02619	22.7949489491493	22.6688213552546	20.8367733129279	29.9404768377187	17.7813038570919	24.4646901049559
EFM745_02620	12.7651714115236	17.2283042299935	20.8367733129279	14.9702384188594	19.7570042856577	25.5283722834323
EFM745_02621	21.8831509911833	29.0160913347259	29.7668190184684	24.1826928304651	17.7813038570919	21.2736435695269
EFM745_02622	1956.71841779497	1886.04593675719	1888.20855307151	4215.84945011109	3788.40557177486	3844.14739301351
EFM745_02623	2133.60722164037	1899.64722957034	1930.87432699798	3697.64888945826	3410.05893970452	3371.87250577001
EFM745_02624	3952.64414778249	3588.92779696392	3590.8706009279	6573.08622268071	6199.74794483939	6212.96760448033
EFM745_02625	1072.27439856798	868.669234333358	989.250618713766	1889.70471118063	1528.20428149562	1557.23070928937
EFM745_02626	1399.60986547777	1380.98459696211	1411.93944877602	1644.42311247163	1599.32949692399	1546.5938875046
EFM745_02627	332.80625465758	358.167377413023	370.100783129624	861.364487485138	863.381087283241	796.697951678782
EFM745_02628	237.067469071153	219.434190718865	263.932461963753	253.342496319158	234.120500785044	235.073761443272
EFM745_02629	2015.0734871048	2023.87237059713	1940.79660000414	5097.94196002234	4620.17545220105	4862.09123781537
EFM745_02630	529.754613578229	412.572548665635	455.432330982566	1516.6003075106	1404.72300471026	1368.95896369906
EFM745_02631	61.0904631837201	51.6849126899806	66.4792291412461	927.00322516783	967.105359782944	957.31396062871
EFM745_02632	44.6780999403326	41.7106312936685	33.7357282209308	530.867685468782	474.168102855785	505.249034776264
EFM745_02633	51.0606856460944	42.6173841478787	48.619137730165	393.832426096146	334.881222641898	366.970351574339
EFM745_02634	49.2370897301624	64.3794526489232	58.5414107363212	117.458793747973	146.201831713867	129.769225774114
EFM745_02635	14.5887673274555	14.508045667363	24.8056825153903	11.5155680145072	16.793453642809	21.2736435695269
EFM745_02636	7464.88988186741	7798.0745462076	7399.03898069063	5491.77438611848	5348.22106012754	5432.22488547869
EFM745_02637	3216.82319570395	3051.22335441728	3191.00299877981	2980.22900215446	2777.83480256347	2703.88009768687
EFM745_02638	4264.47904940685	4140.23353232371	4234.82611902744	3704.55823026697	3558.23647184695	3779.26278012645
EFM745_02639	76.5910284691416	70.7267226283945	94.2615935584832	90.9729873146069	101.748572071137	85.0945742781076
EFM745_02641	447.692797361292	464.257461355615	440.548921473332	201.522440253876	244.986853142155	203.163296088982
EFM745_02642	339.188840363341	343.65933174566	400.859829448708	244.130041907553	271.658808927793	256.347405012799
EFM745_02643	17.3241612013535	25.3890799178852	11.9067276073874	14.9702384188594	27.6598059999208	20.2099613910505
EFM745_02644	345.571426069103	394.437491581431	408.797647853632	225.705133084341	281.537311070622	286.130506010137
EFM745_02645	66.5612509315159	66.1929583573436	66.4792291412461	150.853940990044	164.970985785242	162.743373306881
EFM745_02646	387.514132135538	395.344244435641	364.14741932593	1473.99270585692	1649.70985785242	1508.30132907946
EFM745_02647	723.055780667015	705.453720575525	697.535792332776	943.125020388139	899.931545211708	916.894037846609
EFM745_02648	2368.85109479559	2596.94017445797	2491.4827518458	4233.12280213285	4588.564245344	4701.47522886544
EFM745_02649	347.395021985035	313.736487556724	343.310646013002	1305.86541284512	1156.77260092526	1155.15884582531
EFM745_02650	231.596681323357	251.170540616221	213.328869632357	756.572818553123	745.826911783578	715.85810611458
EFM745_02651	479.605725890101	481.485765585609	453.447876381335	1278.2280496103	1187.39595756803	1253.01760624513
EFM745_02652	314.57029549826	272.025856263056	317.512736196996	970.762383622957	977.971712140056	994.542836875382
EFM745_02654	1746.09308950483	1764.54105429302	1677.856365341	2997.50235417622	2980.34409649146	2719.83533036401
EFM745_02655	137.681491652862	97.0225554004899	85.3315478529427	246.433155510454	179.788738999485	146.788140629736
EFM745_02656	1006.62494559443	964.785036879638	947.57707208791	1587.99682920054	1565.74258963837	1474.26349936821
EFM745_02657	1791.68298740313	1782.67611137723	1709.6076389607	2052.07422018518	2176.2340220652	1897.6090064018
EFM745_02658	65.6494529735499	91.5820382752288	104.183866564639	25.3342496319158	23.7084051427892	32.9741475327667
EFM745_02659	2105.34148494343	2370.25196090543	2291.05283712145	322.435904406202	362.541028641819	359.524576325004
EFM745_02660	2729.01128819215	2638.65080575164	3038.19999448501	8156.47682467545	8125.06801247673	7488.32253647347
EFM745_02661	664.700711357193	644.701279343442	665.784518713076	1356.53391210895	1320.75573649622	1304.074350812
EFM745_02662	79.3264223430395	78.8874983162862	63.5025472393992	1239.07511836097	1098.48943828257	1211.53400128456
EFM745_02663	36.4719183186388	44.4308898562991	49.6113650307806	751.96659134732	644.078339712441	650.973493227523
EFM745_02664	498.753483007386	486.92628271087	533.8182877312	1039.85579171	893.016593711728	960.505007164139
EFM745_02665	67.4730488894819	73.446981191025	87.3160024541739	578.081514328261	674.70169635521	655.228221941428
EFM745_02666	1365.87334103302	1354.68876419002	1430.79176748771	535.473912674585	535.414816141324	464.829111994163
EFM745_02667	7439.35953904436	7563.22555696716	7519.09848406511	3648.13194699588	3587.87197827544	3479.30440579612
EFM745_02668	1644.88351617061	1745.49924435461	1673.88745613854	796.877306603898	698.410101498	813.716866534404
EFM745_02669	5335.84165001686	6248.43391836239	6403.83499817317	3030.89750141829	3012.9431535628	3250.61273742371
EFM745_02670	18094.6304758347	17131.281674593	17028.6049331651	13005.6825155844	12180.193142108	11853.6741969404
EFM745_02671	13151.7737457012	12001.780778326	11261.7798619872	5921.3050730596	5927.10128569731	5716.22802713188
EFM745_02672	1237.30982895982	1112.5857521159	1129.15466810057	1581.08748839184	1357.30619442468	1283.86438942095
EFM745_02673	2525.68034356574	2549.78902603904	2550.02416258212	1411.80863857858	1490.66597335287	1466.81772411888
EFM745_02674	3011.6686551616	3312.36817642981	3483.71005246142	1959.94967606912	2036.94714185131	1819.96020737303
